Category,Scope of Work,Checklist,Sector
Pre-Bid,23 00 00  HVAC,Smoke / Vehicle exhaust system included?  Louvers or OH doors interlocked with EF's by Electrical sub?,Industrial
Pre-Bid,26 00 00 Electrical,Alternate for Aluminum conductors ILO copper - confirm size of conductors to be substituted - confirm compliance with AHJ's and Owner specs.,Industrial
Pre-Bid,26 00 00 Electrical,"Confirm power wiring for all motorized doors, gates, dock equipment, shades, duplexes, quads, EV's, battery chargers, HVAC equipment, etc.",Industrial
Pre-Bid,26 00 00 Electrical,Confirm quads or duplexes at dock equipment,Industrial
Pre-Bid,26 00 00 Electrical,Interlocking between EF's and Louvers/OH doors for exhaust systems,Industrial
Pre-Award,05 50 00 Metal Fabrication,Include interior and site bike racks. Who will install?,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Bentonite Waterproofing,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Foundation drain board and drain tile.,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Traffic Coatings.,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Waterproofing up to wood framing.,Housing
Pre-Bid,05 10 00 Structural Steel,Garage door steel supports,Housing
Pre-Bid,06 20 00 Carpentry and Millwork,Clarify millwork construction type and door style.,Housing
Pre-Bid,06 20 00 Carpentry and Millwork,"Soft close drawers, doors, hinges, drawer glides, etc. (if applicable)",Housing
Pre-Bid,07 10 00 Dampproofing & Waterproofing,Hot applied waterproofing.,Housing
Pre-Bid,07 50 00 Roofing System,Boots included for EBM penetrations,Housing
Pre-Bid,07 50 00 Roofing System,Boots included for solar attachements,Housing
Pre-Bid,08 11 00 Steel Doors and Frames,Smoke Curtains at Elevator if required.,Housing
Pre-Bid,08 14 00 Wood Doors and Frames,Are frames prefinished timeley knock down or painted MDF casing? Coordinate paint with other trades if necessary.,Housing
Pre-Bid,08 14 00 Wood Doors and Frames,"Panel doors quantities? Are doors smooth? 1, 2 or 6 panel doors?",Housing
Pre-Bid,08 36 00 Sectional Overhead Doors,Motion detectors/sensors if required.,Housing
Pre-Bid,08 36 00 Sectional Overhead Doors,Size and Speed of OVHD Garage Coiling Door as specified.,Housing
Pre-Bid,08 71 00 Finish Door Hardware,Entry doors smart lock or deadbolt?,Housing
Pre-Bid,22 00 00 Plumbing,Does plumber provide unit garbage disposal or is it included in appliance package?,Housing
Pre-Bid,22 00 00 Plumbing,Is there an air swich for the garbage disposal? By Plumber?,Housing
Pre-Bid,22 00 00 Plumbing,Who install kitchen sinks? Plumber or Countertop Sub,Housing
Pre-Bid,22 00 00 Plumbing,Who provides unit water sub meters? Who installs?,Housing
Pre-Bid,26 00 00 Electrical,Conduit pathway for Solar Power System,Housing
Pre-Bid,26 00 00 Electrical,DAS system - include Design,Housing
Pre-Bid,26 00 00 Electrical,Emergency Battery Back up,Housing
Pre-Bid,26 00 00 Electrical,"EV chargers and conduit for future chargers, if required.",Housing
Pre-Bid,26 00 00 Electrical,Handling/Inventory/Storing/Installing light fixtures provided by others.,Housing
Pre-Bid,26 00 00 Electrical,How many mobilizations? Cost of additional.,Housing
Pre-Bid,26 00 00 Electrical,Includes Conduit (Pathways) for Temporary Power and Lighting Install,Housing
Pre-Bid,26 00 00 Electrical,Inverter or Generator?,Housing
Pre-Bid,26 00 00 Electrical,Is it a bulk wifi project? Are Unit WAP's included? Correct design and infrastructure communicated to bidders,Housing
Pre-Bid,26 00 00 Electrical,"Smurf tube in each TV wall, low to high to conceal wires in the wall.",Housing
Pre-Bid,26 00 00 Electrical,Solar Power Design and Install,Housing
Pre-Bid,32 01 00 Site Concrete,Caulking expansion joints.,Housing
Pre-Bid,32 01 00 Site Concrete,Footings/foundations for landscape items.,Housing
Pre-Bid,32 01 00 Site Concrete,Footings/foundations for monument sign.,Housing
Pre-Bid,32 01 00 Site Concrete,Footings/foundations for Owner Supplied site sculptures.,Housing
Pre-Bid,32 01 00 Site Concrete,Light Pole Bases.,Housing
Pre-Award,02 40 00 Demolition,"Arrange and pay for disconnecting, removing, capping, and plugging of utility services. Disconnect and stub off. Notify affected utility company in advance and obtain approval before starting Work.",General
Pre-Award,02 40 00 Demolition,"Assure that existing utilities serving occupied or used facilities or portions thereof are not interrupted, except when authorized in writing by authorities having jurisdiction.",General
Pre-Award,02 40 00 Demolition,"Completely disconnect services and utilities according to the requirements of the city prior to excavation, backfilling, and surfacing outside of property lines.",General
Pre-Award,02 40 00 Demolition,"Conduct demolition and removal of debris to ensure minimum interference with roads, streets, walks, and other adjacent occupied areas or facilities.",General
Pre-Award,02 40 00 Demolition,"Conduct operations to prevent injury to adjacent buildings, structure, other facilities, and persons.",General
Pre-Award,02 40 00 Demolition,Coordinate disconnection and removal of utility owner equipment with appropriate utility companies prior to starting demolition.,General
Pre-Award,02 40 00 Demolition,"Demolition of partial structures, including foundations, footings, and basement slabs, etc.",General
Pre-Award,02 40 00 Demolition,"Demolition, removal, or relocation of partial existing parking areas, plantings, and retaining walls.",General
Pre-Award,02 40 00 Demolition,Ensure safe passage of persons around area of demolition.,General
Pre-Award,02 40 00 Demolition,Erect temporary covered passageways as required by authorities having jurisdiction or as directed by Contractor.,General
Pre-Award,02 40 00 Demolition,Existing conditions: Refer to Drawings for existing structures and components to remain.,General
Pre-Award,02 40 00 Demolition,Identify service lines and capping locations on Project Record Documents.,General
Pre-Award,02 40 00 Demolition,Items of salvageable value to Contractor not indicated in the agreement may be removed from structure as work progresses (storage and sales of removed items on site is not permitted).,General
Pre-Award,02 40 00 Demolition,"Maintain existing utilities indicated to remain, keep in service, and protect against damage during demolition operations.",General
Pre-Award,02 40 00 Demolition,"Obtain certificates of severance at utilities services, as required.",General
Pre-Award,02 40 00 Demolition,"Obtain permits and notices authorizing building demolition, as required.",General
Pre-Award,02 40 00 Demolition,"Obtain permits for interruption and rerouting of automobile and pedestrian traffic, as required.",General
Pre-Award,02 40 00 Demolition,"Obtain permits for transport and disposal of debris, as required.",General
Pre-Award,02 40 00 Demolition,Owner assumes no responsibility for actual condition of structures to be demolished.,General
Pre-Award,02 40 00 Demolition,"Place markers acceptable to Contractor and utility companies, to indicate the locations of disconnected services.",General
Pre-Award,02 40 00 Demolition,Provide dust and noise control to comply with local air quality requirements.,General
Pre-Award,02 40 00 Demolition,Provide fire protection as required by the local fire department and other agencies having such jurisdiction.,General
Pre-Award,02 40 00 Demolition,Provide flag person and traffic control as required by City.,General
Pre-Award,02 40 00 Demolition,"Provide interior and exterior shoring, bracing, or support to prevent movement, settlement, or collapse of structures to be demolished and adjacent facilities to remain.",General
Pre-Award,02 40 00 Demolition,"Provide temporary services during interruptions to existing utilities, as acceptable to governing authorities.",General
Pre-Award,02 40 00 Demolition,"Provide, erect, and maintain barricades, scaffolding, sidewalk bridges, fences, lighting, and guardrails as required to protect general public, workers, and adjoining property.",General
Pre-Award,02 40 00 Demolition,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,02 40 00 Demolition,Refer to related Project Specifications Section and Ryan Subcontract Agreement.,General
Pre-Award,02 40 00 Demolition,"Relocation of lighting fixtures and coordination of utilities relocation, if required.",General
Pre-Award,02 40 00 Demolition,"Removal and disposal of demolished materials, capping of utilities.",General
Pre-Award,02 40 00 Demolition,"Secure and pay for permits, governmental fees, licenses, and disconnection charges necessary for proper execution of work.",General
Pre-Award,02 40 00 Demolition,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,03 30 00 Cast In Place Concrete,1 1/2” rock if possible.,General
Pre-Award,03 30 00 Cast In Place Concrete,Agree on truck wash down area.,General
Pre-Award,03 30 00 Cast In Place Concrete,"All chamfer, dovetail, cont. joints, regulars, etc.",General
Pre-Award,03 30 00 Cast In Place Concrete,"All concrete on job. Machine bases, sidewalks, protection of membrane waterproofing, roof fill cants.",General
Pre-Award,03 30 00 Cast In Place Concrete,"All remedial repair work – hone combs – blowouts, etc.",General
Pre-Award,03 30 00 Cast In Place Concrete,Anchor and reglet slots – building – who furnishes.,General
Pre-Award,03 30 00 Cast In Place Concrete,Apply curing compound.,General
Pre-Award,03 30 00 Cast In Place Concrete,Approval of form location at construction joint.,General
Pre-Award,03 30 00 Cast In Place Concrete,Are admixtures or accelerators included in bid?,General
Pre-Award,03 30 00 Cast In Place Concrete,Blockouts.,General
Pre-Award,03 30 00 Cast In Place Concrete,Bond breaks and expansion joint materials.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Build in miscellaneous iron. Include unloading, hoist and distribution.",General
Pre-Award,03 30 00 Cast In Place Concrete,Chutes and tremies available in good repair.,General
Pre-Award,03 30 00 Cast In Place Concrete,Clean out of trucks or off site? (see Ready Mix),General
Pre-Award,03 30 00 Cast In Place Concrete,Clearance required of excavation. Holes in forms to brace sheeting.,General
Pre-Award,03 30 00 Cast In Place Concrete,Concrete supplier.,General
Pre-Award,03 30 00 Cast In Place Concrete,Concrete-filled pan stairs.,General
Pre-Award,03 30 00 Cast In Place Concrete,Connection of hoists. Cost of power.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Control joint (spacing approved by structural, testing and Ryan).",General
Pre-Award,03 30 00 Cast In Place Concrete,Cure time before lift traffic.,General
Pre-Award,03 30 00 Cast In Place Concrete,Dampen sub soil if needed as directed by testing agency.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Depth, width and timing of saw cutting.",General
Pre-Award,03 30 00 Cast In Place Concrete,"Detail review of schedule, quantity of forms, manpower. Amount of slab form included in subcontractor quote must meet Ryan’s schedule.",General
Pre-Award,03 30 00 Cast In Place Concrete,Dowel basket at control joint included.,General
Pre-Award,03 30 00 Cast In Place Concrete,Early installation ground floors.,General
Pre-Award,03 30 00 Cast In Place Concrete,Expansion joint with zip cap for easy strip and caulking.,General
Pre-Award,03 30 00 Cast In Place Concrete,Extent of rubbing approved?,General
Pre-Award,03 30 00 Cast In Place Concrete,Floor cutting.,General
Pre-Award,03 30 00 Cast In Place Concrete,Forms at perimeter if exterior walls follow.,General
Pre-Award,03 30 00 Cast In Place Concrete,Grout elevator sills.,General
Pre-Award,03 30 00 Cast In Place Concrete,Hand leveling and fine grading.,General
Pre-Award,03 30 00 Cast In Place Concrete,Hoists or temporary elevators for men.,General
Pre-Award,03 30 00 Cast In Place Concrete,Hold pre-con meeting use agenda in Ryan tools.,General
Pre-Award,03 30 00 Cast In Place Concrete,How many finishers for pour to complete handwork?,General
Pre-Award,03 30 00 Cast In Place Concrete,Is fine grading included?,General
Pre-Award,03 30 00 Cast In Place Concrete,Joint filler included?,General
Pre-Award,03 30 00 Cast In Place Concrete,Joint sealer. - If not done by waterproofer,General
Pre-Award,03 30 00 Cast In Place Concrete,Layout and setting of imbeds included.,General
Pre-Award,03 30 00 Cast In Place Concrete,Line and grades.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Method of placement, will it work the way they bid it?",General
Pre-Award,03 30 00 Cast In Place Concrete,Mud sills for first elevated slab if S.O.G sequence is later.,General
Pre-Award,03 30 00 Cast In Place Concrete,OSHA guard rails – erect? Leave in place? Other OSHA requirements.,General
Pre-Award,03 30 00 Cast In Place Concrete,Out-of sequence installation of finish floors in multi-storied buildings.,General
Pre-Award,03 30 00 Cast In Place Concrete,P & F (L & M) Pumps?,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Appropriate use of form release agent.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Approval of curing compound, and suitability for use with architectural concrete if required.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Approved curing methods.,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Approved mix design in hand.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Clean forms in place and adequately braced, shored and tied.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Floor level requirements (See 03 50 00- Concrete decks).,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Forms reasonable tight with respect to class of work.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Plant: distance to job site, turnaround time, capacity.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Preplanning for expansion and control joints.,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Procedure for repair of defects.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Requirements for testing lab at plant.,General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Screed requirements.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Site access, washout.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Placement - Steel in place, secured against shifting and sufficiently clear of forms.",General
Pre-Award,03 30 00 Cast In Place Concrete,Placement - Vibrator sized to task.,General
Pre-Award,03 30 00 Cast In Place Concrete,Planning method compatible with specific slump to minimize segregation.,General
Pre-Award,03 30 00 Cast In Place Concrete,Porous fill under slabs on ground. Insulation?,General
Pre-Award,03 30 00 Cast In Place Concrete,Provide and install reinforcing steel.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Pumps – rate set-up charges, etc.",General
Pre-Award,03 30 00 Cast In Place Concrete,Rate of progress – size of formed areas. Commit to crew sizes. Amount of slab form included in subcontractor quote must meet Ryan’s schedule.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,03 30 00 Cast In Place Concrete,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,03 30 00 Cast In Place Concrete,Reinforcing.,General
Pre-Award,03 30 00 Cast In Place Concrete,Requirements for reshoring and forms to be in place.,General
Pre-Award,03 30 00 Cast In Place Concrete,Re-spray control joints after cutting with curing compound and bulk heads.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Review process to correct any deficiencies or problems after pouring/before start of placement (curling, cracking, high or low spot, etc.).",General
Pre-Award,03 30 00 Cast In Place Concrete,Review process to meet FF & FL numbers/have a specified local minimum to ensure floor is consistent.,General
Pre-Award,03 30 00 Cast In Place Concrete,Review testing service work to be done while working on site.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Saw cut - wet, unit price/ft.",General
Pre-Award,03 30 00 Cast In Place Concrete,Saw cutting.,General
Pre-Award,03 30 00 Cast In Place Concrete,Scaffolding in place as necessary.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Shoring of floor slabs, plank protection.",General
Pre-Award,03 30 00 Cast In Place Concrete,Site Concrete – included or excluded?,General
Pre-Award,03 30 00 Cast In Place Concrete,"Size of pours, pumped, buggied, crew size?",General
Pre-Award,03 30 00 Cast In Place Concrete,Slope floor to drains,General
Pre-Award,03 30 00 Cast In Place Concrete,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Special Finish – salt, etc. included. - If applicable",General
Pre-Award,03 30 00 Cast In Place Concrete,"Tolerance, slump mix design?",General
Pre-Award,03 30 00 Cast In Place Concrete,Type of method of curing (if spray on make sure it will work with floors).,General
Pre-Award,03 30 00 Cast In Place Concrete,Vacuum water from saw cutting.,General
Pre-Award,03 30 00 Cast In Place Concrete,Vapor barriers.,General
Pre-Award,03 30 00 Cast In Place Concrete,Water cement ratio is (.48 or lower). Mix design review.,General
Pre-Award,03 30 00 Cast In Place Concrete,"Who is responsible for bulkhead layout, and elevation?",General
Pre-Award,03 30 00 Cast In Place Concrete,Who is to be responsible for quality control?,General
Pre-Award,04 22 00 Concrete Unit Masonry,0 General site clean-up.,General
Pre-Award,04 22 00 Concrete Unit Masonry,1 Loose fill insulation provided.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"2 Maximum variation from plumb: ¼” per story, non-cumulative – ½” in two stories or more",General
Pre-Award,04 22 00 Concrete Unit Masonry,3 Maximum variation in mortar joint thickness: Do not exceed +/- 1/8” for thickness of bed joint or -1/4” or +3/8” for head joints.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Anchors, mortar, scaffolding for stone; caulking.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Approval of mortar color.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Approved gauge of bond reinforcement supplied with proper corner accessories.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Approved specific gauge of dovetail anchors and ties and corrugated or crimped metal ties.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Architectural pre-cast items.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Assign set up area.,General
Pre-Award,04 22 00 Concrete Unit Masonry,b. Install,General
Pre-Award,04 22 00 Concrete Unit Masonry,Blockouts.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Bracing requirements: Walls and scaffold.,General
Pre-Award,04 22 00 Concrete Unit Masonry,c. Removal,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Can stone subcontractor, caulker, and window man work off scaffold? Type of scaffold used.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Cleaning; shovel debris down chute; remove from site.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Concrete block handled to minimize chips and spalls.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Coordinate with other trades regarding embedded switches, valves, etc.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Core fill/clean out requirements.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Corner guards? Set?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Crew size and schedule.,General
Pre-Award,04 22 00 Concrete Unit Masonry,d. Who supplies dead man?,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Dealer’s standard or special mix, concrete strength, type finish, forms, inspection prior to shipment, inserts and anchors, who furnishes and designs. Adjustable to meet structure.",General
Pre-Award,04 22 00 Concrete Unit Masonry,Design strength of pre-cast headers.,General
Pre-Award,04 22 00 Concrete Unit Masonry,e. Who removes dead man?,General
Pre-Award,04 22 00 Concrete Unit Masonry,Elevator shaft & pit inserts.,General
Pre-Award,04 22 00 Concrete Unit Masonry,Embed layout.,General
Pre-Award,04 22 00 Concrete Unit Masonry,"Enforce cleaning of cavity, especially on stud walls.",General
