Category,Scope of Work,Checklist,Sector
Pre-Bid,23 00 00  HVAC,Smoke / Vehicle exhaust system included?  Louvers or OH doors interlocked with EF's by Electrical sub?,Industrial
Pre-Bid,26 00 00 Electrical,Alternate for Aluminum conductors ILO copper - confirm size of conductors to be substituted - confirm compliance with AHJ's and Owner specs.,Industrial
Pre-Bid,26 00 00 Electrical,"Confirm power wiring for all motorized doors, gates, dock equipment, shades, duplexes, quads, EV's, battery chargers, HVAC equipment, etc.",Industrial
Pre-Bid,26 00 00 Electrical,Confirm quads or duplexes at dock equipment,Industrial
Pre-Bid,26 00 00 Electrical,Interlocking between EF's and Louvers/OH doors for exhaust systems,Industrial
Pre-Award,05 50 00 Metal Fabrication,Include interior and site bike racks. Who will install?,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Bentonite Waterproofing,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Foundation drain board and drain tile.,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Traffic Coatings.,Housing
Pre-Award,07 10 00 Dampproofing & Waterproofing,Waterproofing up to wood framing.,Housing
Pre-Bid,05 10 00 Structural Steel,Garage door steel supports,Housing
Pre-Bid,06 20 00 Carpentry and Millwork,Clarify millwork construction type and door style.,Housing
Pre-Bid,06 20 00 Carpentry and Millwork,"Soft close drawers, doors, hinges, drawer glides, etc. (if applicable)",Housing
Pre-Bid,07 10 00 Dampproofing & Waterproofing,Hot applied waterproofing.,Housing
Pre-Bid,07 50 00 Roofing System,Boots included for EBM penetrations,Housing
Pre-Bid,07 50 00 Roofing System,Boots included for solar attachements,Housing
Pre-Bid,08 11 00 Steel Doors and Frames,Smoke Curtains at Elevator if required.,Housing
